respondent_id,timestamp,race,gender,region,times_used_service_past_month,events_attended_past_year,q1_find_service_helpful_agreement,q2_mobile_app_frequency,q3_overall_satisfaction
R1361,2025-09-04 17:00:33.502001,Black,Female,North,3,0,Agree,Sometimes,Satisfied
R1073,2025-09-04 19:10:14.502001,Hispanic,Male,North,3,1,Agree,Never,Very unsatisfied
R1374,2025-09-09 06:11:05.502001,White,Female,South,2,3,Agree,Rarely,Satisfied
R1155,2025-08-27 16:48:45.502001,White,Female,West,2,0,Agree,Always,Neutral
R1104,2025-08-31 11:48:31.502001,Asian,Female,Central,5,2,Strongly agree,Never,Unsatisfied
R1394,2025-08-07 12:20:35.502001,White,Male,South,2,0,Strongly disagree,Sometimes,Unsatisfied
R1377,2025-09-06 04:41:54.502001,White,Male,East,1,0,Disagree,Rarely,Neutral
R1124,2025-08-07 12:42:06.502001,White,Male,East,3,0,Neutral,Never,Unsatisfied
R1068,2025-09-04 20:50:41.502001,White,Male,South,3,1,Neutral,Sometimes,Neutral
R1450,2025-10-27 05:26:09.502001,Hispanic,Male,South,3,2,Strongly agree,Sometimes,Unsatisfied
R1009,2025-08-10 03:49:42.502001,Black,Male,South,4,3,Strongly disagree,Sometimes,Very unsatisfied
R1194,2025-09-16 08:37:43.502001,White,Female,North,0,3,Agree,Always,Very unsatisfied
R1406,2025-08-15 02:37:29.502001,White,Male,West,0,1,Strongly agree,Sometimes,Neutral
R1084,2025-09-12 10:10:17.502001,White,Male,Central,4,3,Strongly disagree,Sometimes,Satisfied
R1371,2025-10-11 05:26:06.502001,White,Female,North,4,1,Neutral,Often,Neutral
R1388,2025-10-31 02:39:06.502001,Hispanic,Female,Central,2,0,Disagree,Often,Unsatisfied
R1495,2025-10-07 14:24:46.502001,White,Female,East,3,0,Disagree,Often,Satisfied
R1030,2025-10-19 02:51:48.502001,Black,Male,North,2,3,Agree,Always,Unsatisfied
R1316,2025-09-13 01:14:29.502001,White,Male,East,1,0,Strongly agree,Always,Satisfied
R1408,2025-10-03 10:37:07.502001,Asian,Female,East,2,1,Agree,Always,Neutral
R1490,2025-08-27 07:49:47.502001,White,Male,South,2,2,Agree,Sometimes,Neutral
